,time,Room,Day,Class,Enrollment,Instructor,Str_Start,Str_End
285,1/1/1900 10:30,2520,Friday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
286,1/1/1900 11:00,2520,Friday,ISTE( 438)-ContemporaryDatabases,27,Edward Holden,11:00,11:50
287,1/1/1900 11:30,2520,Friday,ISTE( 438)-ContemporaryDatabases,27,Edward Holden,11:00,11:50
288,1/1/1900 12:00,2520,Friday,N/A,0,N/A,N/A,N/A
289,1/1/1900 12:30,2520,Friday,N/A,0,N/A,N/A,N/A
290,1/1/1900 13:00,2520,Friday,N/A,0,N/A,N/A,N/A
291,1/1/1900 13:30,2520,Friday,N/A,0,N/A,N/A,N/A
292,1/1/1900 14:00,2520,Friday,N/A,0,N/A,N/A,N/A
293,1/1/1900 14:30,2520,Friday,N/A,0,N/A,N/A,N/A
294,1/1/1900 15:00,2520,Friday,N/A,0,N/A,N/A,N/A
295,1/1/1900 15:30,2520,Friday,N/A,0,N/A,N/A,N/A
296,1/1/1900 16:00,2520,Friday,N/A,0,N/A,N/A,N/A
297,1/1/1900 16:30,2520,Friday,N/A,0,N/A,N/A,N/A
298,1/1/1900 17:00,2520,Friday,N/A,0,N/A,N/A,N/A
299,1/1/1900 17:30,2520,Friday,N/A,0,N/A,N/A,N/A
300,1/1/1900 18:00,2520,Friday,N/A,0,N/A,N/A,N/A
301,1/1/1900 18:30,2520,Friday,N/A,0,N/A,N/A,N/A
302,1/1/1900 19:00,2520,Friday,N/A,0,N/A,N/A,N/A
303,1/1/1900 19:30,2520,Friday,N/A,0,N/A,N/A,N/A
304,1/1/1900 20:00,2520,Friday,N/A,0,N/A,N/A,N/A
305,1/1/1900 20:30,2520,Friday,N/A,0,N/A,N/A,N/A
306,1/1/1900 21:00,2520,Friday,N/A,0,N/A,N/A,N/A
307,1/1/1900 21:30,2520,Friday,,0,,21:30,22:00
308,1/1/1900 8:00,2520,Monday,,0,,8:00,8:30
309,1/1/1900 8:30,2520,Monday,N/A,0,N/A,N/A,N/A
310,1/1/1900 9:00,2520,Monday,N/A,0,N/A,N/A,N/A
311,1/1/1900 9:30,2520,Monday,N/A,0,N/A,N/A,N/A
312,1/1/1900 10:00,2520,Monday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
313,1/1/1900 10:30,2520,Monday,ISTE( 464)-AccessibilityThroughTheLifespa,8,Elissa Weeden,10:00,10:50
314,1/1/1900 11:00,2520,Monday,ISTE( 438)-ContemporaryDatabases,27,Edward Holden,11:00,11:50
